probe,GSM3516780_blood_age62
cg00000029,0.522621
cg00017842,0.7139833
cg00073460,0.5625258
cg00075967,0.7927242
cg00079056,0.9023695
cg00083937,0.7599417
cg00091693,0.775427
cg00113951,0.05230857
cg00168942,0.74455
cg00194146,0.1302261
cg00230271,0.03153359
cg00257455,0.07315922
cg00261781,0.013375452
cg00297600,0.6857118
cg00335286,0.7421074
cg00338702,0.1304177
cg00343092,0.06611594
cg00347775,0.821433
cg00350702,0.03436252
cg00374717,0.9311869
cg00410898,0.07021518
cg00412772,0.5102407
cg00412805,0.9116706
cg00431549,0.1505508
cg00436603,0.803209
cg00454305,0.6358707
cg00462994,0.1339689
cg00481951,0.2228513
cg00486113,0.3212639
cg00503840,0.2356111
cg00515905,0.898608
cg00522231,0.775121772
cg00582628,0.6091616
cg00593462,0.7707154
cg00658652,0.7942401
cg00687674,0.3362106
cg00702638,0.008175928
cg00744433,0.9139862
cg00748589,0.2555467
cg00753885,0.7600424
cg00760938,0.861969
cg00795927,0.9279084
cg00845900,0.9363223
cg00862290,0.7584278
cg00864867,0.04562698
cg00943950,0.05427508
cg00945507,0.6439012
cg00955230,0.06009278
cg00991848,0.06698479
cg01027739,0.09535049
cg01027805,0.06935835
cg01056568,0.5267301
cg01059398,0.5206254
cg01114088,0.05707045
cg01128603,0.1274298
cg01131735,0.03765198
cg01137065,0.03745462
cg01211097,0.4707522
cg01221637,0.03281527
cg01234063,0.0626421
cg01243072,0.530702308
cg01252496,0.546786
cg01254459,0.03041631
cg01261503,0.06428631
cg01262913,0.058461465
cg01335367,0.1335946
cg01353448,0.7053031
cg01400401,0.0903195
cg01407797,0.04948106
cg01441777,0.4780008
cg01447660,0.2747083
cg01450842,0.933416
cg01459453,0.7935962
cg01485645,0.2482819
cg01511232,0.8969902
cg01511567,0.1917828
cg01519742,0.05522119
cg01527307,0.9209169
cg01528542,0.6110466
cg01560871,0.7842615
cg01570885,0.514079
cg01584473,0.8746724
cg01620164,0.80918081
cg01623187,0.9477778
cg01626227,0.04362381
cg01644850,0.03687071
cg01651821,0.05017201
cg01656216,0.885224366
cg01740766,0.12917074
cg01752203,0.887863105
cg01820374,0.2627546
cg01844642,0.55399
cg01873645,0.0259471
cg01883408,0.6203824
cg01892695,0.6960112
cg01918706,0.02814754
cg01930621,0.02490022
cg01946401,0.5872159
cg01949403,0.8769961
cg01968178,0.09150695
cg02016419,0.4964628
cg02046143,0.191191945
cg02047577,0.011175844
cg02071305,0.3155448
cg02085507,0.555816356
cg02085953,0.3686775
cg02151301,0.3311428
cg02154074,0.166968
cg02197293,0.241805881
cg02217159,0.1748036
cg02228185,0.8261604
cg02229946,0.8625306
cg02244028,0.8817189
cg02275294,0.08871749
cg02281167,0.3039313
cg02309431,0.9174327
cg02328239,0.2008479
cg02331561,0.010273095
cg02332492,0.8388262
cg02335441,0.04407233
cg02364642,0.2923928
cg02383785,0.125618
cg02388150,0.2600818
cg02479575,0.011273008
cg02480835,0.01574706
cg02489552,0.7627191
cg02503970,0.03746793
cg02532488,0.07143887
cg02580606,0.9017419
cg02631957,0.04564651
cg02650266,0.082567444
cg02735486,0.6006028
cg02802055,0.02797482
cg02821342,0.05437887
cg02827112,0.0533154
cg02867102,0.1290494
cg02871659,0.3324071
cg02901139,0.1246836
cg02976574,0.9084326
cg03007010,0.03287638
cg03019000,0.7804848
cg03032497,0.2040499
cg03103192,0.5374518
cg03112869,0.9340294
cg03167275,0.08411093
cg03172991,0.5066304
cg03183882,0.0733093
cg03258472,0.6048082
cg03270204,0.9002269
cg03286783,0.0355615
cg03330058,0.2860934
cg03340261,0.04815389
cg03361973,0.9126753
cg03364683,0.02267795
cg03387497,0.8691858
cg03399905,0.08046385
cg03473532,0.8351631
cg03486383,0.9350619
cg03535648,0.9393262
cg03555227,0.2960684
cg03565081,0.2323839
cg03565323,0.1267223
cg03578041,0.2370202
cg03588357,0.04118609
cg03607117,0.05975553
cg03623878,0.05668041
cg03636183,0.6910433
cg03643998,0.08677848
cg03670162,0.04195919
cg03682823,0.4982438
cg03703325,0.05765902
cg03724882,0.0496723
cg03746976,0.393363
cg03760483,0.4502446
cg03771840,0.35970065
cg03819692,0.886638
cg03891319,0.07197796
cg03894990,0.5021123
cg03929796,0.2309234
cg03947362,0.02236734
cg03977782,0.03173893
cg03984502,0.8808462
cg03991512,0.5307865
cg04005032,0.03247387
cg04007936,0.9270694
cg04014889,0.9260297
cg04031656,0.8248824
cg04084157,0.1589035
cg04087608,0.9026164
cg04094160,0.03165249
cg04121983,0.1290008
cg04126866,0.885238
cg04169469,0.07596392
cg04267101,0.339773
cg04268405,0.9544247
cg04333463,0.032586372
cg04359302,0.7602683
cg04400972,0.062830796
cg04416734,0.158421639
cg04416752,0.03277864
cg04424621,0.1314939
cg04452713,0.1007559
cg04474832,0.1958942
cg04480914,0.05961442
cg04528819,0.176707
cg04576021,0.8104307
cg04596060,0.05694453
cg04601137,0.3252497
cg04616566,0.8559077
cg04642300,0.2171823
cg04718414,0.017691632
cg04736140,0.01575059
cg04755031,0.08815873
cg04818845,0.6547916
cg04836038,0.1260504
cg04858164,0.5646711
cg04875128,0.226980695
cg04940570,0.054825834
cg04999691,0.7678428
cg05024939,0.2435926
cg05087948,0.0562548
cg05089968,0.8974317
cg05106770,0.3606472
cg05125838,0.3546963
cg05228408,0.4240855
cg05250458,0.2383898
cg05270634,0.046506328
cg05294243,0.2508402
cg05316065,0.5913528
cg05365729,0.3500642
cg05422352,0.4067195
cg05440289,0.8755254
cg05441133,0.9165149
cg05442902,0.2520894
cg05468948,0.3597975
cg05473871,0.209695
cg05492270,0.022783392
cg05496363,0.894095412
cg05501584,0.2175879
cg05532892,0.03183123
cg05542681,0.27010163
cg05575921,0.931891242
cg05675373,0.048793947
cg05697249,0.7726956
cg05755779,0.8966849
cg05759269,0.03837205
cg05847778,0.02096564
cg05851163,0.02916267
cg05898102,0.1100292
cg05903609,0.1515496
cg05921699,0.8615225
cg05928581,0.8401953
cg05940231,0.163281972
cg05940691,0.942241646
cg05960024,0.9505692
cg06044899,0.5172091
cg06112560,0.878808
cg06121469,0.01817161
cg06134964,0.4711574
cg06144905,0.2245776
cg06171242,0.05554712
cg06189653,0.04943474
cg06231995,0.0751947
cg06295856,0.1340102
