probe,204086170159_R01C01_buccal_pediatric
cg09499020,0.142167091097626
cg08067365,0.0178276802020111
cg13587552,0.867876275884571
cg12140144,0.00994728429254013
cg04818845,0.0755792843876514
cg17940013,0.0213675
cg13631913,0.02381309
cg10667970,0.0605089
cg05228408,0.09496831
cg26933021,0.814854
cg16713727,0.163577
cg20822990,0.05692927
cg19685066,0.9159182
cg07312601,0.7458859
cg13319175,0.3379926
cg07180649,0.05632884
cg06958034,0.0463567
cg08872493,0.2455827
cg21211748,0.03386041
cg09993145,0.9339642
cg25229964,0.6744771
cg23605843,0.051683
cg22512670,0.2682334
cg25410668,0.3283366
cg18468844,0.8165185
cg19420968,0.7963931
cg17879376,0.7024648
cg14992253,0.02492198
cg11426590,0.01933137
cg26372517,0.03287265
cg14962509,0.5424169
cg24375409,0.01735456
cg07388493,0.6083648
cg22851420,0.01750396
cg19044674,0.0592493
cg23786576,0.02297879
cg18983672,0.9062969
cg24107728,0.2574322
cg10266490,0.216798
cg25536676,0.03616409
cg14614643,0.7793272
cg06836772,0.1219474
cg16648841,0.3730033
cg26815229,0.2082032
cg09851465,0.06318245
cg00257455,0.1747002
cg23045908,0.9130338
cg22901840,0.5288209
cg09118625,0.5644423
cg08413469,0.03269537
cg15201877,0.04609455
cg25428451,0.03335582
cg19514928,0.05531816
cg18933331,0.4194285
cg00515905,0.9158565
cg05675373,0.009417423
cg19269039,0.5102555
cg10045881,0.5252632
cg16008966,0.7744914
cg14565725,0.1881582
cg05940231,0.3111747
cg04087608,0.9224643
cg19693031,0.6768599
cg18031008,0.03562533
cg07337598,0.4033827
cg03984502,0.9154141
cg10795646,0.03663012
cg05440289,0.3687471
cg09413557,0.0253263
cg14467840,0.7975941
cg23376526,0.0386677
cg16168311,0.04428846
cg27493997,0.0459906
cg16728114,0.03692701
cg10636246,0.03197322
cg08654655,0.05171373
cg04736140,0.0134888
cg25256723,0.5692535
cg16054275,0.4401531
cg01459453,0.9186243
cg16599143,0.2241099
cg16743289,0.1461279
cg02275294,0.1903298
cg18117393,0.909391
cg10202457,0.06663875
cg19632206,0.02628652
cg21870884,0.1407654
cg09404633,0.1866633
cg15262928,0.02914873
cg18384097,0.9147253
cg01918706,0.02239608
cg24450312,0.02245939
cg10501210,0.9676912
cg02901139,0.08388236
cg09885951,0.02827464
cg27202708,0.4507732
cg26043391,0.02765318
cg23213217,0.1119828
cg11298786,0.1943085
cg19560210,0.9430193
cg09809672,0.6147996
cg05940691,0.03748622
cg11314684,0.5425536
cg12869659,0.4476528
cg23028740,0.1542317
cg24304712,0.04483771
cg10959651,0.7759387
cg00522231,0.05710552
cg04169469,0.06789881
cg25657834,0.03555305
cg01752203,0.9816038
cg00261781,0.01398878
cg07265300,0.07596094
cg08030082,0.0746035
cg14424579,0.01851019
cg11618577,0.1033648
cg22395019,0.03944725
cg08251399,0.4137566
cg23643435,0.009030805
cg22158769,0.009116088
cg01243072,0.9764197
cg01450842,0.9404278
cg12351433,0.1163855
cg07589899,0.0468379
cg10855531,0.6372042
cg22943590,0.7800394
cg23398076,0.03063234
cg12082609,0.06099516
cg01447660,0.3002704
cg26898166,0.07658561
cg23173910,0.8702534
cg02154074,0.02661671
cg01968178,0.02647515
cg02085953,0.5657127
cg15149655,0.02119761
cg01651821,0.02669672
cg22809047,0.4360802
cg06639320,0.03154577
cg22454769,0.01338233
cg17966192,0.4197541
